trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
190,False,"{'a': 0.0035, 'e': 0.5160766386570931}",25,15,1.8603767831996132,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.0035, 'e': 0.5142735277066319}",20,0,-8.096240693948676,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
192,False,"{'a': 0.0035, 'e': 0.5124767166133164}",25,20,8.904348779315836,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.0035, 'e': 0.5106861833661879}",20,11,2.5337030071086506,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.0035, 'e': 0.5089019060311919}",20,12,4.586492408023202,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.0035, 'e': 0.5071238627509086}",20,0,-147.080316046511,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
196,False,"{'a': 0.0035, 'e': 0.5053520317442859}",25,15,3.6840202301617473,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.0035, 'e': 0.5035863913063714}",25,0,-62.85254205139503,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
198,False,"{'a': 0.0035, 'e': 0.501826919808048}",20,0,-28.033079806952525,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
199,False,"{'a': 0.0035, 'e': 0.5000735956957676}",30,7,-40.28725435311959,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
200,False,"{'a': 0.0035, 'e': 0.4983263974912881}",30,1,-52.51968549235022,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 1}",1
201,False,"{'a': 0.0035, 'e': 0.49658530379140947}",25,0,-97.70571606860953,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
202,False,"{'a': 0.0035, 'e': 0.49485029326771224}",30,6,-121.80351344550303,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 2}",1
203,False,"{'a': 0.0035, 'e': 0.49312134466629576}",20,5,-1.8478666702254505,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.0035, 'e': 0.491398436807518}",20,0,-3.5857117456639553,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
205,False,"{'a': 0.0035, 'e': 0.4896815485857362}",30,0,-105.16741812142445,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",1
206,False,"{'a': 0.0035, 'e': 0.48797065896904807}",20,0,-45.4139232847751,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
207,False,"{'a': 0.0035, 'e': 0.4862657469990346}",20,2,-25.377813941640813,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
208,False,"{'a': 0.0035, 'e': 0.4845667917905026}",25,7,-50.21062309824289,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
209,False,"{'a': 0.0035, 'e': 0.48287377253122976}",20,4,-14.607648911302638,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
210,False,"{'a': 0.0035, 'e': 0.48118666848170877}",20,0,-73.90380813539625,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
211,False,"{'a': 0.0035, 'e': 0.4795054589748941}",20,0,-69.10414835049933,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
212,False,"{'a': 0.0035, 'e': 0.4778301234159481}",30,13,-25.775612439641986,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
213,False,"{'a': 0.0035, 'e': 0.4761606412819894}",25,0,-31.880734567693693,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
214,False,"{'a': 0.0035, 'e': 0.4744969921218409}",25,0,-37.90562420196643,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
215,False,"{'a': 0.0035, 'e': 0.47283915555577954}",25,14,-38.59319176220751,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
216,False,"{'a': 0.0035, 'e': 0.4711871112752867}",25,14,-19.717058855811956,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
217,False,"{'a': 0.0035, 'e': 0.46954083904279925}",20,8,-11.463109069969073,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
218,False,"{'a': 0.0035, 'e': 0.4679003186914618}",30,19,20.40407347498694,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.0035, 'e': 0.46626553012487953}",20,0,-77.71556551086357,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
220,False,"{'a': 0.0035, 'e': 0.46463645331687203}",25,15,8.322400500381082,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.0035, 'e': 0.46301306831122807}",20,10,-59.608531802801195,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
222,False,"{'a': 0.0035, 'e': 0.46139535522146097}",25,0,-104.67461371241485,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
223,False,"{'a': 0.0035, 'e': 0.4597832942305652}",25,0,-40.854755347501424,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
224,False,"{'a': 0.0035, 'e': 0.4581768655907734}",25,15,17.5442834408406,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.0035, 'e': 0.4565760496233147}",25,5,-11.996435702781701,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
226,False,"{'a': 0.0035, 'e': 0.4549808267181735}",20,10,-38.52702520437504,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
227,False,"{'a': 0.0035, 'e': 0.4533911773338492}",20,10,-69.80308942888406,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",1
228,False,"{'a': 0.0035, 'e': 0.451807081997117}",20,0,-24.94554397828081,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
229,False,"{'a': 0.0035, 'e': 0.45022852130278923}",25,0,-61.84550826751116,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
230,False,"{'a': 0.0035, 'e': 0.4486554759134776}",20,8,-32.90162130432995,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
231,False,"{'a': 0.0035, 'e': 0.4470879265593564}",20,0,3.8244549252335927,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
232,False,"{'a': 0.0035, 'e': 0.44552585403792655}",30,18,14.00888528750121,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.0035, 'e': 0.44396923921378006}",25,11,-39.529077836215635,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
234,False,"{'a': 0.0035, 'e': 0.44241806301836584}",20,4,5.5742742484483205,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.0035, 'e': 0.4408723064497561}",30,0,-13.9527444113171,"{0: 26, 1: 2, 2: 0, 3: 2, 4: 0}",0
236,False,"{'a': 0.0035, 'e': 0.43933195057241364}",30,0,-55.6889809638386,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
